"Freq","Sensitivity"
1,113.2
5,89.8
7,83.5
9,80.2
11,78.3
13,76.6
15,75.4
17,74.4
19,73.7
21,73.1
23,72.7
25,72.4
27,72.1
29,71.9
31,71.7
33,71.6
35,71.5
37,71.4
39,71.3
41,71.2
43,71.2
45,71.1
47,71.1
49,71
51,71
53,71
55,70.9
57,70.9
59,70.9
61,70.9
63,70.8
65,70.8
67,70.8
69,70.8
71,70.8
73,70.8
75,70.8
77,70.7
79,70.7
81,70.7
83,70.7
85,70.7
87,70.7
89,70.7
91,70.7
93,70.7
95,70.7
97,70.7
99,70.7
100,70.7
300,70.7
400,70.7
500,70.7
600,70.7
700,70.7
800,70.8
900,70.8
1000,70.8
1100,70.9
1200,70.9
1300,71
1400,71.1
1500,71.2
1600,71.4
1700,71.6
1800,71.9
1900,72.3
2000,72.7
2100,73.2
2200,73.8
2300,74.5
2400,75.2
2500,75.9
2600,76.7
2700,77.5
2800,78.2
2900,79
3000,79.6
3100,80.3
3200,80.8
3300,81.3
3400,81.7
3500,82.1
3600,82.4
3700,82.7
3800,82.9
3900,83
4000,83.1
4200,83.2
4300,83.2
4400,83.2
4500,83.1
4600,83.1
4700,83
4800,82.9
4900,82.8
5000,82.7
5100,82.6
5200,82.5
5300,82.4
5400,82.2
5500,82.1
5600,81.9
5700,81.8
5800,81.6
5900,81.5
6000,81.3
6100,81.2
6200,81.1
6300,80.9
6400,80.8
6500,80.6
6600,80.5
6700,80.3
6800,80.2
6900,80
7000,79.9
7100,79.8
7200,79.6
7300,79.5
7400,79.4
7500,79.2
7600,79.1
7700,79
7800,78.8
7900,78.7
8000,78.6
8100,78.5
8200,78.4
8300,78.2
8400,78.1
8500,78
8600,77.9
8700,77.8
8800,77.7
8900,77.6
9000,77.5
9100,77.4
9200,77.3
9300,77.2
9400,77.1
9500,77
9600,76.9
9700,76.8
9800,76.7
9900,76.6
10000,76.5
10100,76.4
10200,76.3
10300,76.2
10400,76.1
10500,76.1
10600,76
10700,75.9
10800,75.8
10900,75.7
11000,75.7
11100,75.6
11200,75.5
11300,75.4
11400,75.3
11500,75.3
11600,75.2
11700,75.1
11800,75.1
11900,75
12000,74.9
12100,74.8
12200,74.8
12300,74.7
12400,74.6
12500,74.6
12600,74.5
12700,74.4
12800,74.4
12900,74.3
13000,74.3
13100,74.2
13200,74.1
13300,74.1
13400,74
13500,74
13600,73.9
13700,73.8
13800,73.8
13900,73.7
14000,73.7
14100,73.6
14200,73.6
14300,73.5
14400,73.5
14500,73.4
14600,73.4
14700,73.3
14800,73.1
14900,72.9
15000,72.7
17000,72.5
18000,72.2
19000,71.9
20000,71.6
21000,71.3
22000,71
23000,70.8
24000,70.5
25000,70.3
26000,70.1
27000,70
28000,69.8
29000,69.7
30000,69.5
31000,69.4
32000,69.3
33000,69.2
34000,69.1
35000,69
36000,69
37000,68.9
38000,68.8
39000,68.8
40000,68.7
41000,68.7
42000,68.6
43000,68.6
44000,68.5
45000,68.5
46000,68.5
47000,68.5
48000,68.5
49000,68.4
50000,68.4
51000,68.4
52000,68.4
53000,68.4
54000,68.4
55000,68.4
56000,68.4
57000,68.4
58000,68.4
59000,68.4
60000,68.4
61000,68.4
62000,68.4
63000,68.4
64000,68.5
65000,68.5
66000,68.5
67000,68.6
68000,68.6
69000,68.6
70000,68.7
71000,68.7
72000,68.8
73000,68.8
74000,68.9
75000,68.9
76000,69
77000,69.1
78000,69.1
79000,69.2
80000,69.3
81000,69.4
82000,69.5
83000,69.6
84000,69.7
85000,69.8
86000,69.9
87000,70.1
88000,70.2
89000,70.3
90000,70.5
91000,70.6
92000,70.8
93000,70.9
94000,71.1
95000,71.3
96000,71.5
97000,71.7
98000,71.8
99000,72.1
100000,72.3
101000,72.5
102000,72.7
103000,72.9
104000,73.1
105000,73.4
106000,73.6
107000,73.9
108000,74.1
109000,74.4
110000,74.6
111000,74.9
112000,75.1
113000,75.4
114000,75.7
115000,75.9
116000,76.2
117000,76.4
118000,76.7
119000,77
120000,77.3
121000,77.5
122000,77.8
123000,78
124000,78.3
125000,78.6
126000,78.9
127000,79.2
128000,79.4
129000,79.7
130000,80
131000,80.3
132000,80.6
133000,80.9
134000,81.1
135000,81.4
136000,81.7
137000,81.9
138000,82.2
139000,82.5
140000,82.7
141000,83
142000,83.3
143000,83.5
144000,83.8
145000,84.1
146000,84.4
147000,84.6
148000,84.9
149000,85.1
150000,85.4
151000,85.7
152000,85.9
153000,86.2
154000,86.4
155000,86.7
156000,86.9
157000,87.2
158000,87.4
159000,87.7
160000,87.9
161000,88.2
162000,88.4
163000,88.7
164000,88.9
165000,89.1
166000,89.4
167000,89.7
168000,89.9
169000,90.1
170000,90.4
171000,90.6
172000,90.9
173000,91.1
174000,91.3
175000,91.6
176000,91.8
177000,92
178000,92.3
179000,92.5
180000,92.7
181000,92.9
182000,93.2
183000,93.4
184000,93.6
185000,93.8
186000,94.1
187000,94.3
188000,94.5
189000,94.8
190000,95
191000,95.2
192000,95.4
193000,95.6
194000,95.8
195000,96.1
196000,96.3
197000,96.5
198000,96.7
199000,96.9
200000,97.1
